,,,,,,,,,,,,,,,,,,,,,,
,INVERSIÓN EN ACTIVO FIJO,SAN NICOLÁS,ALBERTI,SAN LUIS,,,,,,,,,,,,,,,,,,
,Costo terreno [USD/m2],166,40,"1,81",,,,,,,,,,,,,,,,,,
,Superficie terreno [m2],5.000,5.000,5.000,,,,,,,,,,,,,,,,,,
,Inversión en terreno [USD],830.000,200.000,9.050,,,,,,,,,,,,,,,,,,
,Inversión nave industrial [USD],2.062.500,2.062.500,2.062.500,,,,,,,,,,,,,,,,,,
,Inversión equipos [USD],687.500,687.500,687.500,,,,,,,,,,,,,,,,,,
,TOTAL ACTIVO FIJO [USD],3.580.000,2.950.000,2.759.050,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,AMORTIZACIONES,SAN NICOLÁS,ALBERTI,SAN LUIS,,,,,,,,,,,,,,,,,,
,Vida útil terreno [años],10,10,10,,,,,,,,,,,,,,,,,,
,Vida útil nave industrial [años],10,10,10,,,,,,,,,,,,,,,,,,
,Vida útil equipos [años],5,5,5,,,,,,,,,,,,,,,,,,
,Amortiz. anual terreno [USD/año],83.000,20.000,905,,,,,,,,,,,,,,,,,,
,Amortiz. anual nave industrial [USD/año],206.250,206.250,206.250,,,,,,,,,,,,,,,,,,
,Amortiz. anual equipos [USD/año],137.500,137.500,137.500,,,,,,,,,,,,,,,,,,
,TOTAL AMORTIZACIÓN ANUAL [USD/año],426.750,363.750,344.655,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,PRECIO DE VENTA,SAN NICOLÁS,ALBERTI,SAN LUIS,,,,,,,,,,,,,,,,,,
,Costo de producción por cuchara [USD],840.000,840.000,840.000,,,,,,,,,,,,,,,,,,
,Margen bruto [%],19%,19%,19%,,,,,,,,,,,,,,,,,,
,Costo transporte MP por cuchara [USD],25.812,56.280,65.088,,,,,,,,,,,,,,,,,,
,Costo transporte PT prom. pond. por cuchara [USD],4.110,7.863,18.021,,,,,,,,,,,,,,,,,,
,Costo total por cuchara [USD],869.922,904.143,923.109,,,,,,,,,,,,,,,,,,
,PRECIO DE VENTA [USD/cuchara],1.073.978,1.116.226,1.139.641,1.109.949,"Como hay un único precio de mercado y 3 alternativas debido a los costos de cada localización, se toma un único precio promedio",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,TRANSPORTE DE MATERIA PRIMA,SAN NICOLÁS,ALBERTI,SAN LUIS,,,,,,,,,,,,,,,,,,
,Costo MP [USD/km],18,14,12,,,,,,,,,,,,,,,,,,
,Distancia al proveedor (AMBA) [km],239,670,904,,,,,,,,,,,,,,,,,,
,Semirremolques por cuchara,6,6,6,,,,,,,,,,,,,,,,,,
,Costo transporte MP por cuchara [USD],25.812,56.280,65.088,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,TRANSPORTE DE PRODUCTO TERMINADO,SAN NICOLÁS,,,ALBERTI,,,SAN LUIS,,,Distancias corregidas,,,,,,,,,,,
,Cliente,Costo/km [USD],Dist. [km],Costo/cuchara [USD],Costo/km [USD],Dist. [km],Costo/cuchara [USD],Costo/km [USD],Dist. [km],Costo/cuchara [USD],,,,,,,,,,,,
,Metcon (San Nicolás),22,10,220,22,362,7.964,24,733,17.592,,,,,,,,,,,,
,Zapla (Jujuy),14,254,3.556,12,508,6.096,24,727,17.448,,,,,,,,,,,,
,Acerbrag (Bragado),18,1.288,23.184,16,906,14.496,18,1.232,22.176,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
